iteration,train_loss,train_perplexity
1,39.320923,485165195.409790
20,7.725147,2264.585015
40,4.080488,59.174332
60,2.837584,17.074470
80,2.211757,9.131747
100,1.842836,6.314418
120,1.590860,4.907969
140,1.414510,4.114470
160,1.282719,3.606433
180,1.172686,3.230659
200,1.085518,2.960973
220,1.013163,2.754298
240,0.953349,2.594383
260,0.902543,2.465865
280,0.858670,2.360019
300,0.806140,2.239248
320,0.758400,2.134858
340,0.717423,2.049146
360,0.683546,1.980890
380,0.650950,1.917362
400,0.620651,1.860139
420,0.596025,1.814891
440,0.571068,1.770157
460,0.548859,1.731276
480,0.528700,1.696726
500,0.509646,1.664701
