iteration,train_loss,train_perplexity
1,39.507689,485165195.409790
20,7.056625,1160.521469
40,3.762100,43.038696
60,2.626748,13.828733
80,2.069236,7.918774
100,1.734571,5.666498
120,1.509652,4.525154
140,1.354492,3.874792
160,1.234357,3.436167
180,1.134400,3.109309
200,1.056529,2.876370
220,0.988819,2.688059
240,0.935305,2.547990
260,0.888386,2.431202
280,0.846677,2.331885
300,0.795782,2.216173
320,0.751445,2.120062
340,0.711677,2.037404
360,0.677793,1.969526
380,0.644788,1.905583
400,0.615453,1.850495
420,0.590065,1.804106
440,0.566997,1.762965
460,0.545251,1.725041
480,0.525338,1.691031
500,0.507644,1.661373
