run_name,mmlu_mean_acc,metrics_dir,mmlu_eval_json
lr_3p0000e-04_r32_a64_st500_wd_1p0000e-03,0.496813941735955,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-03,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-03/mmlu_eval.json
lr_4p0000e-04_r32_a64_st500_wd_1p0000e-02,0.49174681000569337,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_1p0000e-02,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_1p0000e-02/mmlu_eval.json
lr_3p0000e-04_r32_a64_st500_wd_0p0000e00,0.48754648649900667,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_0p0000e00,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
lr_3p0000e-04_r32_a64_st500_wd_1p0000e-02,0.48754648649900667,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-02,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r32_a64_st500_wd_1p0000e-02/mmlu_eval.json
lr_3p0000e-04_r64_a128_st500_wd_0p0000e00,0.4787440442548794,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r64_a128_st500_wd_0p0000e00,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r64_a128_st500_wd_0p0000e00/mmlu_eval.json
lr_2p0000e-04_r32_a64_st500_wd_1p0000e-03,0.47534075925942143,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-03,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-03/mmlu_eval.json
lr_2p0000e-04_r32_a64_st500_wd_0p0000e00,0.47534075702994405,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_0p0000e00,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
lr_2p0000e-04_r32_a64_st500_wd_1p0000e-02,0.47534075702994405,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-02,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r32_a64_st500_wd_1p0000e-02/mmlu_eval.json
lr_4p0000e-04_r32_a64_st500_wd_0p0000e00,0.47283237306214315,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_0p0000e00,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
lr_4p0000e-04_r32_a64_st500_wd_1p0000e-03,0.47283237306214315,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_1p0000e-03,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r32_a64_st500_wd_1p0000e-03/mmlu_eval.json
